name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
RWB6	SEEG	V	n/a	n/a	RWB	2000	depth	n/a
RWB7	SEEG	V	n/a	n/a	RWB	2000	depth	n/a
RWB8	SEEG	V	n/a	n/a	RWB	2000	depth	n/a
RWC1	SEEG	V	n/a	n/a	RWC	2000	depth	n/a
RWC2	SEEG	V	n/a	n/a	RWC	2000	depth	n/a
RWC3	SEEG	V	n/a	n/a	RWC	2000	depth	n/a
RWC4	SEEG	V	n/a	n/a	RWC	2000	depth	n/a
RWC5	SEEG	V	n/a	n/a	RWC	2000	depth	n/a
RWC6	SEEG	V	n/a	n/a	RWC	2000	depth	n/a
RWC7	SEEG	V	n/a	n/a	RWC	2000	depth	n/a
RWC8	SEEG	V	n/a	n/a	RWC	2000	depth	n/a
RQa1	SEEG	V	n/a	n/a	RQa	2000	depth	n/a
RQa2	SEEG	V	n/a	n/a	RQa	2000	depth	n/a
RQa3	SEEG	V	n/a	n/a	RQa	2000	depth	n/a
RQa4	SEEG	V	n/a	n/a	RQa	2000	depth	n/a
RQa5	SEEG	V	n/a	n/a	RQa	2000	depth	n/a
RQa6	SEEG	V	n/a	n/a	RQa	2000	depth	n/a
RQa7	SEEG	V	n/a	n/a	RQa	2000	depth	n/a
RQa8	SEEG	V	n/a	n/a	RQa	2000	depth	n/a
RQa9	SEEG	V	n/a	n/a	RQa	2000	depth	n/a
RQa10	SEEG	V	n/a	n/a	RQa	2000	depth	n/a
RQb1	SEEG	V	n/a	n/a	RQb	2000	depth	n/a
RQb2	SEEG	V	n/a	n/a	RQb	2000	depth	n/a
RQb3	SEEG	V	n/a	n/a	RQb	2000	depth	n/a
RQb4	SEEG	V	n/a	n/a	RQb	2000	depth	n/a
RQb5	SEEG	V	n/a	n/a	RQb	2000	depth	n/a
RQb6	SEEG	V	n/a	n/a	RQb	2000	depth	n/a
RQb7	SEEG	V	n/a	n/a	RQb	2000	depth	n/a
RQb8	SEEG	V	n/a	n/a	RQb	2000	depth	n/a
RQb9	SEEG	V	n/a	n/a	RQb	2000	depth	n/a
RQb10	SEEG	V	n/a	n/a	RQb	2000	depth	n/a
LQ1	SEEG	V	n/a	n/a	LQ	2000	depth	n/a
LQ2	SEEG	V	n/a	n/a	LQ	2000	depth	n/a
LQ3	SEEG	V	n/a	n/a	LQ	2000	depth	n/a
LQ4	SEEG	V	n/a	n/a	LQ	2000	depth	n/a
LQ5	SEEG	V	n/a	n/a	LQ	2000	depth	n/a
LQ6	SEEG	V	n/a	n/a	LQ	2000	depth	n/a
LQ7	SEEG	V	n/a	n/a	LQ	2000	depth	n/a
LQ8	SEEG	V	n/a	n/a	LQ	2000	depth	n/a
LB1	SEEG	V	n/a	n/a	LB	2000	depth	n/a
LB2	SEEG	V	n/a	n/a	LB	2000	depth	n/a
LB3	SEEG	V	n/a	n/a	LB	2000	depth	n/a
LB4	SEEG	V	n/a	n/a	LB	2000	depth	n/a
LB5	SEEG	V	n/a	n/a	LB	2000	depth	n/a
LB6	SEEG	V	n/a	n/a	LB	2000	depth	n/a
LB7	SEEG	V	n/a	n/a	LB	2000	depth	n/a
LB8	SEEG	V	n/a	n/a	LB	2000	depth	n/a
LB9	SEEG	V	n/a	n/a	LB	2000	depth	n/a
LB10	SEEG	V	n/a	n/a	LB	2000	depth	n/a
LB11	SEEG	V	n/a	n/a	LB	2000	depth	n/a
LB12	SEEG	V	n/a	n/a	LB	2000	depth	n/a
