name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
B4-B5	SEEG	V	n/a	n/a	bipolar	B	2048	depth	n/a
B5-B6	SEEG	V	n/a	n/a	bipolar	B	2048	depth	n/a
B6-B7	SEEG	V	n/a	n/a	bipolar	B	2048	depth	n/a
B7-B8	SEEG	V	n/a	n/a	bipolar	B	2048	depth	n/a
D1-D2	SEEG	V	n/a	n/a	bipolar	D	2048	depth	n/a
D2-D3	SEEG	V	n/a	n/a	bipolar	D	2048	depth	n/a
D3-D4	SEEG	V	n/a	n/a	bipolar	D	2048	depth	n/a
D4-D5	SEEG	V	n/a	n/a	bipolar	D	2048	depth	n/a
D5-D6	SEEG	V	n/a	n/a	bipolar	D	2048	depth	n/a
D6-D7	SEEG	V	n/a	n/a	bipolar	D	2048	depth	n/a
D7-D8	SEEG	V	n/a	n/a	bipolar	D	2048	depth	n/a
D8-D9	SEEG	V	n/a	n/a	bipolar	D	2048	depth	n/a
D10-D9	SEEG	V	n/a	n/a	bipolar	D	2048	depth	n/a
