name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
23Ld7	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
23Ld8	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
25Ld1	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
25Ld2	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
25Ld3	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
25Ld4	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
25Ld5	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
25Ld6	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
25Ld7	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
25Ld8	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
25Ld9	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
25Ld10	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
25Ld11	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
25Ld12	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
25Ld13	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
25Ld14	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
25Ld15	SEEG	V	n/a	n/a	Ld	2048	depth	n/a
2Rd1	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
2Rd2	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
2Rd3	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
2Rd4	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
2Rd5	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
2Rd6	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
2Rd7	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
2Rd8	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
2Rd9	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
2Rd10	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
4Rd1	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
4Rd2	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
4Rd3	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
4Rd4	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
4Rd5	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
4Rd6	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
4Rd7	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
4Rd8	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
4Rd9	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
4Rd10	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
4Rd11	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
4Rd12	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
4Rd13	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
4Rd14	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
4Rd15	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
6Rd1	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
6Rd2	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
6Rd3	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
6Rd4	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
6Rd5	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
6Rd6	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
6Rd7	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
6Rd8	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
6Rd9	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
6Rd10	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
6Rd11	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
6Rd12	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
6Rd13	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
6Rd14	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
6Rd15	SEEG	V	n/a	n/a	Rd	2048	depth	n/a
